Product name,Price_per_unit,Rating,Rating_count,1 star count,2 star count,3 star count,4 star count,5 star count,Similar_product_1,Similar_product_price_1,Similar_product_2,Similar_product_price_2,Similar_product_3,Similar_product_price_3,Similar_product_4,Similar_product_price_4,Similar_product_5,Similar_product_price_5,Pros,Cons,product recommendation,recommendation_count,recommendation_percent
McFarlane'S Reserve Kentucky Straight Bourbon 1.75l,36.99,3.8,146,9,18,17,47,55,First Call Kentucky Straight Bourbon 1.75L,31.99,Two Stars Bourbon 1.75L,36.99,El Padrino Blanco Tequila 1.75L,44.99,Wolcott Kentucky Straight Bourbon 750ml,26.99,Grangestone Bourbon Cask Finish Single Malt Scotch Whisky 1.75L,49.99,"{'price': '29 reviews', 'value': '16 reviews', 'satisfaction': '13 reviews'}",,101 out of 135 (75%) of reviewers would recommend this product to a friend.,101,75%
Jim Beam Bourbon Whiskey 1.75l,18.99,4.6,471,7,7,24,72,361,Tower Vodka 1.75L,19.99,Black Eagle Kentucky Straight Bourbon Whiskey 1.75L,19.99,Redemption High Rye Bourbon 750ml,27.99,Colonel Lee Bourbon 1.75L,19.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,"{'satisfaction': '48 reviews', 'price': '42 reviews', 'enjoyment': '15 reviews'}",,63 out of 68 (93%) of reviewers would recommend this product to a friend.,63,93%
Skatterbrain Peanut Butter Whiskey 750ml,15.99,4.4,436,22,20,21,73,300,Skatterbrain Dark Chocolate Banana Whiskey 750ml,18.99,Skatterbrain Dark Cherry Vanilla Whiskey 750ml,15.99,Skatterbrain PB&J Whiskey 750ml,18.99,Skatterbrain Peanut Butter Cream Liqueur 750ml,13.99,Ensign Red Salted Caramel 750ml,16.99,"{'satisfaction': '93 reviews', 'price': '27 reviews', 'enjoyment': '9 reviews'}",,312 out of 368 (85%) of reviewers would recommend this product to a friend.,312,85%
Johnnie Walker Blue Label 750ml,194.9,4.7,772,11,9,36,101,615,Chivas Royal Salute 21 Yr 750ml,79.99,"Quilceda Creek Cabernet Sauvignon Columbia Valley, 2017 750ml",99.99,"Quintessa Meritage, 2017 750ml",89.99,Tears of Llorona Extra Anejo 1L,49.99,"De Venoge Louis XV Gift w 2 Glasses, 1996 750ml",49.99,{'satisfaction': '2 reviews'},,88 out of 104 (85%) of reviewers would recommend this product to a friend.,88,85%
Bulleit Bourbon 1.75l,35.99,4.6,1297,7,14,53,281,942,Redemption Wheated Bourbon 750ml,44.99,Bib & Tucker 6 Year Bourbon 750ml,52.99,Two Stars Bourbon 1.75L,36.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,"Amici Cabernet Sauvignon Napa, 2018 750ml",49.99,"{'price': '48 reviews', 'satisfaction': '35 reviews', 'value': '17 reviews'}",,116 out of 128 (91%) of reviewers would recommend this product to a friend.,116,91%
Lonehand Whiskey 1.75l,23.99,3.6,511,73,41,66,152,179,Black Eagle Kentucky Straight Bourbon Whiskey 1.75L,19.99,Legado Blanco Tequila 1.75L,22.99,G&J Greenall's Gin 1.75L,23.99,Legado Reposado Tequila 1.75L,26.99,Redemption High Rye Bourbon 750ml,27.99,"{'price': '22 reviews', 'satisfaction': '11 reviews', 'value': '6 reviews'}",{'disappointing': '3 reviews'},301 out of 441 (68%) of reviewers would recommend this product to a friend.,301,68%
Jack Daniels Black 1.75l,28.99,4.8,695,10,4,22,63,596,Lonehand Whiskey 1.75L,23.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,1858 Cabernet Sauvignon Paso Robles 750ml,34.99,"Amici Cabernet Sauvignon Napa, 2018 750ml",49.99,"Lloyd Chardonnay Carneros, 2019 750ml",39.99,"{'satisfaction': '13 reviews', 'reliable': '4 reviews', 'price': '3 reviews'}",,117 out of 130 (90%) of reviewers would recommend this product to a friend.,117,90%
Woodford Reserve 750ml,26.99,4.7,747,9,11,24,95,608,Luxardo Maraschino Cherries 14.1oz,21.99,Redemption High Rye Bourbon 750ml,27.99,Redemption Bourbon Whiskey 750ml,27.99,Winchester KY Double Oak Bourbon Whiskey 750ml,26.99,"Mascota Vineyards Unanime, 2017 750ml",24.99,"{'satisfaction': '22 reviews', 'price': '17 reviews', 'enjoyment': '6 reviews'}",,132 out of 154 (86%) of reviewers would recommend this product to a friend.,132,86%
Basil Hayden'S Kentucky Straight Bourbon Whiskey 750ml,35.49,4.7,493,11,2,18,61,401,Redemption High Rye Bourbon 750ml,27.99,Winchester KY Double Oak Bourbon Whiskey 750ml,26.99,Redemption Bourbon Whiskey 750ml,27.99,"Mascota Vineyards Unanime, 2017 750ml",24.99,1858 Red Blend 750ml,24.99,"{'satisfaction': '57 reviews', 'price': '30 reviews', 'enjoyment': '25 reviews'}",,118 out of 137 (86%) of reviewers would recommend this product to a friend.,118,86%
Maker'S Mark Bourbon Whisky 1.75l,37.99,4.7,883,15,9,25,96,738,Redemption Wheated Bourbon 750ml,44.99,Bib & Tucker 6 Year Bourbon 750ml,52.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,1858 Cabernet Sauvignon Paso Robles 750ml,34.99,"Amici Cabernet Sauvignon Napa, 2018 750ml",49.99,"{'price': '14 reviews', 'satisfaction': '13 reviews', 'enjoyment': '10 reviews'}",,156 out of 171 (91%) of reviewers would recommend this product to a friend.,156,91%
