Product name,Price_per_unit,Rating,Rating_count,1 star count,2 star count,3 star count,4 star count,5 star count,Similar_product_1,Similar_product_price_1,Similar_product_2,Similar_product_price_2,Similar_product_3,Similar_product_price_3,Similar_product_4,Similar_product_price_4,Similar_product_5,Similar_product_price_5,Pros,Cons,product recommendation,recommendation_count,recommendation_percent
Ultimate Whiskey Set,39.99,4,4,1,0,0,0,3,Corkcicle Whiskey Wedge,24.99,Tovolo - Sphere Ice Molds S/2,10.99,On the Rocks Glass & Ice Ball,19.99,HOST Freeze Cooling Whisky Glasses,24.99,Viski Admiral Crystal Glasses,24.99,,,,,
The Busker Single Pot Irish Whiskey 750ml,27.49,5,2,0,0,0,0,2,Redemption High Rye Bourbon 750ml,27.99,Grangestone Madeira Finish 750ml,31.99,Kavanagh Single Malt Irish Whiskey 750ml,26.99,Dunville's Three Crowns Sherry Finished Irish Whiskey 750ml,34.99,Kavanagh Toasted French Oak Finish Irish Whiskey 750ml,29.99,,,,,
Basil Hayden'S Kentucky Straight Bourbon Whiskey 1.75l,76.99,4.6,372,10,2,18,49,293,Maker's Mark Bourbon Private Barrel Select 750ml,74.99,Bib & Tucker 6 Year Bourbon 750ml,52.99,Russell's Reserve Single Barrel Barrel Select Bourbon 750ml,67.99,De Margerie Grand Cru Brut 750ml,44.99,Teeter-Totter Cabernet Sauvignon 750ml,74.99,"{'price': '28 reviews', 'satisfaction': '22 reviews'}",,118 out of 137 (86%) of reviewers would recommend this product to a friend.,118,86%
Yellow Rose Blended Whiskey 750ml,28.49,4.9,14,0,0,0,1,13,Olema Cabernet Sauvignon Sonoma County 750ml,24.99,Wolcott Kentucky Straight Bourbon 750ml,26.99,Winchester KY Double Oak Bourbon Whiskey 750ml,26.99,"Mascota Vineyards Unanime, 2017 750ml",24.99,1858 Red Blend 750ml,24.99,{'flavor': '2 reviews'},,7 out of 7 (100%) of reviewers would recommend this product to a friend.,7,100
Wyoming Whiskey Outryder 750ml,59.99,4.5,6,0,0,1,1,4,Russell's Reserve Single Barrel Barrel Select Bourbon 750ml,67.99,Masterson's Rye Whiskey 10 Year 750ml,77.99,Teeter-Totter Cabernet Sauvignon 750ml,74.99,"Line Shack Cabernet Sauvignon San Antonio Valley, 2018 750ml",14.99,Fee Brothers Old Fashioned Bitters 4oz,,{'satisfaction': '2 reviews'},,4 out of 4 (100%) of reviewers would recommend this product to a friend.,4,100
Slow & Low Rock & Rye Whiskey Cans 4pk-100ml,19.99,4.7,3,0,0,0,1,2,Luxardo Maraschino Cherries 14.1oz,21.99,The Perfect Cocktail Old Fashioned Pack,23.49,Royale Orange 750ml,24.99,"Carmen Gran Reserva Cabernet Sauvignon, 2018 750ml",17.99,Samuel Robert Winery Pinot Noir Vintner's Reserve Willamette 750ml,15.99,,,,,
Longhorn 100% Straight Texas Corn Whiskey 750ml,24.99,2.8,5,1,2,0,1,1,McFarlane's Reserve Kentucky Straight Bourbon 750ml,19.99,Longhorn Straight Texas Rye Whiskey 750ml,26.99,Tower Vodka 1.75L,19.99,Kilbrin Blended Irish Whiskey 750ml,16.99,Grangestone Bourbon Cask Finish Single Malt Scotch Whisky 750ml,26.99,,,,,
Dubliner Irish Whiskey 750ml,28.99,4.5,15,0,0,2,3,10,Kilbrin Blended Irish Whiskey 750ml,16.99,Kilbrin Irish Whiskey Sherry Cask 750ml,26.99,McFarlane's Reserve Kentucky Straight Bourbon 750ml,19.99,Kavanagh Irish Whiskey 750ml,17.99,Luminar Mezcal Joven 750ml,29.99,"{'price': '4 reviews', 'smooth': '2 reviews'}",,5 out of 7 (71%) of reviewers would recommend this product to a friend.,5,71%
Dunville'S Three Crowns Sherry Finished Irish Whiskey 750ml,34.99,4.5,17,0,0,2,5,10,Grangestone Sherry Finish 750ml,26.99,ABK6 VSOP Cognac 750ml,34.99,Kavanagh Bordeaux Red Wine Cask Irish Whiskey 750ml,29.99,Kilbrin Irish Whiskey Sherry Cask 750ml,26.99,Shieldaig Speyside Single Malt 12Yr 750ml,34.99,"{'smooth': '4 reviews', 'price': '3 reviews'}",,12 out of 13 (92%) of reviewers would recommend this product to a friend.,12,92%
Kavanagh Toasted French Oak Finish Irish Whiskey 750ml,29.99,4.5,19,0,0,2,6,11,Kavanagh Bordeaux Red Wine Cask Irish Whiskey 750ml,29.99,Grangestone Bourbon Cask Finish Single Malt Scotch Whisky 750ml,26.99,Kavanagh Irish Whiskey 750ml,17.99,Kinsale BlackReserve Irish Whiskey 750ml,24.99,Grangestone Sherry Finish 750ml,26.99,"{'price': '3 reviews', 'satisfaction': '2 reviews'}",,11 out of 12 (92%) of reviewers would recommend this product to a friend.,11,92%
