Product name,Reviews,Reviews_title
Lonehand Whiskey 1.75l,"I thought I’d give this a try as a cheap mixing whiskey (whiskey and coke, etc.). I bought a 750ml bottle and gave it a shot. It tasted terrible, but what really got me was the hangover. Two mixed drinks and I’d wake up at night with a headache. After the third time, I put it all together and realized this low grade whiskey was the cause of my problems. It was so bad, I actually poured it down the drain.",Do Not Buy This!
Lonehand Whiskey 1.75l,I have enjoyed this for several months now,Very Smooth
Lonehand Whiskey 1.75l,I love Lonehand Wiskey. It's one of my favorite sour mash whiskeys.,Lonehand Wiskey
Lonehand Whiskey 1.75l,,Tasty
Lonehand Whiskey 1.75l,It has a nice smooth back end with a hint of vanilla with a nice price,Lone Hand
Lonehand Whiskey 1.75l,Amazing,Great Whiskey
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,"I paired this with a cigar the Brickhouse maduro, after dinner. Very smooth on ice",Night Owl
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,"Spirits Direct offers many great products at fair prices; however, this one wasn't for me. Compared to other Tennessee Sour Mash bourbons or whiskies at equal or lower price points, I found this to have a somewhat medicinal taste. This flavor profile isn't for me, but everyone has a different palate. Request a tasting sample before you purchase.",Mediocre At Best
Lonehand Whiskey 1.75l,This whiskey doesn't taste bad at first sip. The after is horrible this whiskey burns like rubbing alcohol.,Run!!!
Lonehand Whiskey 1.75l,"The nose was promising, but it was thin tasting and the finish was disappointing as well. The price is nice but don't bother...",A Poor Attempt To Be Jack D
Lonehand Whiskey 1.75l,Me and my wife love this brand of whiskey it’s a great way to kick off the night and take a load off,Great Taste For The Price You Pay
Lonehand Whiskey 1.75l,Smooth taste expecially with ginger ale,Lonehand Whiskey
Lonehand Whiskey 1.75l,"I had the impression this was a suitable sub for Jack Daniels so I bought a bottle. The flavor is rich, it goes down smooth & the mouthfeel is pleasant. I'd recommend it to my friends but it is not Jack!",VERY DRINKABLE
Lonehand Whiskey 1.75l,Just buy Ten High instead. Half the price without the food coloring.,Disapointing At Best
